An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-03 18:13:00,322 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-03 18:13:03,925 INFO running disc_r1_pscale_norms seed=0 for 60 tasks x 5000 steps (noise_mode=step)
2026-08-03 18:13:24,090 INFO disc_r1_pscale_norms seed=0 task 10/60 online_acc=0.8692 elapsed=18.2s
2026-08-03 18:13:40,268 INFO disc_r1_pscale_norms seed=0 task 20/60 online_acc=0.8632 elapsed=34.3s
2026-08-03 18:13:56,400 INFO disc_r1_pscale_norms seed=0 task 30/60 online_acc=0.8666 elapsed=50.5s
2026-08-03 18:14:11,422 INFO disc_r1_pscale_norms seed=0 task 40/60 online_acc=0.8680 elapsed=65.5s
2026-08-03 18:14:26,105 INFO disc_r1_pscale_norms seed=0 task 50/60 online_acc=0.8672 elapsed=80.2s
2026-08-03 18:14:40,762 INFO disc_r1_pscale_norms seed=0 task 60/60 online_acc=0.8680 elapsed=94.8s
2026-08-03 18:14:40,800 INFO disc_r1_pscale_norms seed=0 done: avg online acc 0.8659 (wall 94.8s) -> outputs/ipmnist_screening/shards/disc_r1_pscale_norms_seed0.json
