An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-03 18:09:08,114 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-03 18:09:11,796 INFO running disc_r1 seed=1 for 60 tasks x 5000 steps (noise_mode=step)
2026-08-03 18:09:39,486 INFO disc_r1 seed=1 task 10/60 online_acc=0.7672 elapsed=24.7s
2026-08-03 18:10:04,350 INFO disc_r1 seed=1 task 20/60 online_acc=0.7826 elapsed=49.6s
2026-08-03 18:10:28,340 INFO disc_r1 seed=1 task 30/60 online_acc=0.7848 elapsed=73.5s
2026-08-03 18:10:52,061 INFO disc_r1 seed=1 task 40/60 online_acc=0.7822 elapsed=97.3s
2026-08-03 18:11:15,919 INFO disc_r1 seed=1 task 50/60 online_acc=0.7962 elapsed=121.1s
2026-08-03 18:11:36,973 INFO disc_r1 seed=1 task 60/60 online_acc=0.7826 elapsed=142.2s
2026-08-03 18:11:37,017 INFO disc_r1 seed=1 done: avg online acc 0.7822 (wall 142.2s) -> outputs/ipmnist_screening/shards/disc_r1_seed1.json
