An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-03 18:15:24,186 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-03 18:15:28,158 INFO running disc_r1_pscale_norms seed=2 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-03 18:15:44,919 INFO disc_r1_pscale_norms seed=2 task 10/200 online_acc=0.8568 elapsed=14.7s
2026-08-03 18:15:56,174 INFO disc_r1_pscale_norms seed=2 task 20/200 online_acc=0.8614 elapsed=26.0s
2026-08-03 18:16:07,865 INFO disc_r1_pscale_norms seed=2 task 30/200 online_acc=0.8662 elapsed=37.7s
2026-08-03 18:16:19,802 INFO disc_r1_pscale_norms seed=2 task 40/200 online_acc=0.8708 elapsed=49.6s
2026-08-03 18:16:31,942 INFO disc_r1_pscale_norms seed=2 task 50/200 online_acc=0.8722 elapsed=61.7s
2026-08-03 18:16:44,903 INFO disc_r1_pscale_norms seed=2 task 60/200 online_acc=0.8704 elapsed=74.7s
2026-08-03 18:16:57,123 INFO disc_r1_pscale_norms seed=2 task 70/200 online_acc=0.8662 elapsed=86.9s
2026-08-03 18:17:09,078 INFO disc_r1_pscale_norms seed=2 task 80/200 online_acc=0.8646 elapsed=98.9s
2026-08-03 18:17:21,022 INFO disc_r1_pscale_norms seed=2 task 90/200 online_acc=0.8628 elapsed=110.8s
2026-08-03 18:17:33,054 INFO disc_r1_pscale_norms seed=2 task 100/200 online_acc=0.8658 elapsed=122.9s
2026-08-03 18:17:44,495 INFO disc_r1_pscale_norms seed=2 task 110/200 online_acc=0.8642 elapsed=134.3s
2026-08-03 18:17:55,797 INFO disc_r1_pscale_norms seed=2 task 120/200 online_acc=0.8662 elapsed=145.6s
2026-08-03 18:18:08,103 INFO disc_r1_pscale_norms seed=2 task 130/200 online_acc=0.8688 elapsed=157.9s
2026-08-03 18:18:20,163 INFO disc_r1_pscale_norms seed=2 task 140/200 online_acc=0.8532 elapsed=170.0s
2026-08-03 18:18:32,517 INFO disc_r1_pscale_norms seed=2 task 150/200 online_acc=0.8728 elapsed=182.3s
2026-08-03 18:18:45,062 INFO disc_r1_pscale_norms seed=2 task 160/200 online_acc=0.8668 elapsed=194.9s
2026-08-03 18:18:57,796 INFO disc_r1_pscale_norms seed=2 task 170/200 online_acc=0.8708 elapsed=207.6s
2026-08-03 18:19:09,936 INFO disc_r1_pscale_norms seed=2 task 180/200 online_acc=0.8612 elapsed=219.7s
2026-08-03 18:19:23,596 INFO disc_r1_pscale_norms seed=2 task 190/200 online_acc=0.8734 elapsed=233.4s
2026-08-03 18:19:36,561 INFO disc_r1_pscale_norms seed=2 task 200/200 online_acc=0.8562 elapsed=246.4s
2026-08-03 18:19:36,588 INFO disc_r1_pscale_norms seed=2 done: avg online acc 0.8650 (wall 246.4s) -> outputs/ipmnist_screening/confirm_full/disc_r1_pscale_norms_seed2.json
