WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 20:59:04,393 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 20:59:08,745 INFO running sigma0_ndecay099 seed=2 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 21:00:31,065 INFO sigma0_ndecay099 seed=2 task 20/200 online_acc=0.8612 elapsed=78.8s
2026-08-02 21:01:56,718 INFO sigma0_ndecay099 seed=2 task 40/200 online_acc=0.8694 elapsed=164.5s
2026-08-02 21:03:19,539 INFO sigma0_ndecay099 seed=2 task 60/200 online_acc=0.8694 elapsed=247.3s
2026-08-02 21:04:44,175 INFO sigma0_ndecay099 seed=2 task 80/200 online_acc=0.8610 elapsed=332.0s
2026-08-02 21:06:00,352 INFO sigma0_ndecay099 seed=2 task 100/200 online_acc=0.8674 elapsed=408.1s
2026-08-02 21:07:18,753 INFO sigma0_ndecay099 seed=2 task 120/200 online_acc=0.8602 elapsed=486.5s
2026-08-02 21:08:35,615 INFO sigma0_ndecay099 seed=2 task 140/200 online_acc=0.8606 elapsed=563.4s
2026-08-02 21:09:53,126 INFO sigma0_ndecay099 seed=2 task 160/200 online_acc=0.8612 elapsed=640.9s
2026-08-02 21:11:05,046 INFO sigma0_ndecay099 seed=2 task 180/200 online_acc=0.8590 elapsed=712.8s
2026-08-02 21:12:02,045 INFO sigma0_ndecay099 seed=2 task 200/200 online_acc=0.8598 elapsed=769.8s
2026-08-02 21:12:02,133 INFO sigma0_ndecay099 seed=2 done: avg online acc 0.8631 (wall 769.8s) -> outputs/ipmnist_screening/publication_runs/sigma0_ndecay099_seed2.json
