WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 21:22:26,542 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 21:22:30,701 INFO running sigma0_shiftnorm_d099 seed=9 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 21:23:16,691 INFO sigma0_shiftnorm_d099 seed=9 task 20/200 online_acc=0.8596 elapsed=43.0s
2026-08-02 21:23:50,252 INFO sigma0_shiftnorm_d099 seed=9 task 40/200 online_acc=0.8712 elapsed=76.5s
2026-08-02 21:24:23,410 INFO sigma0_shiftnorm_d099 seed=9 task 60/200 online_acc=0.8768 elapsed=109.7s
2026-08-02 21:24:52,939 INFO sigma0_shiftnorm_d099 seed=9 task 80/200 online_acc=0.8622 elapsed=139.2s
2026-08-02 21:25:23,120 INFO sigma0_shiftnorm_d099 seed=9 task 100/200 online_acc=0.8710 elapsed=169.4s
2026-08-02 21:25:54,014 INFO sigma0_shiftnorm_d099 seed=9 task 120/200 online_acc=0.8646 elapsed=200.3s
2026-08-02 21:26:23,948 INFO sigma0_shiftnorm_d099 seed=9 task 140/200 online_acc=0.8684 elapsed=230.2s
2026-08-02 21:26:54,895 INFO sigma0_shiftnorm_d099 seed=9 task 160/200 online_acc=0.8622 elapsed=261.2s
2026-08-02 21:27:24,530 INFO sigma0_shiftnorm_d099 seed=9 task 180/200 online_acc=0.8636 elapsed=290.8s
2026-08-02 21:27:53,228 INFO sigma0_shiftnorm_d099 seed=9 task 200/200 online_acc=0.8710 elapsed=319.5s
2026-08-02 21:27:53,269 INFO sigma0_shiftnorm_d099 seed=9 done: avg online acc 0.8647 (wall 319.5s) -> outputs/ipmnist_screening/publication_runs/sigma0_shiftnorm_d099_seed9.json
