WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 20:40:47,000 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 20:40:49,747 INFO running sigma0_ndecay099 seed=15 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 20:42:27,791 INFO sigma0_ndecay099 seed=15 task 20/200 online_acc=0.8666 elapsed=94.7s
2026-08-02 20:43:50,867 INFO sigma0_ndecay099 seed=15 task 40/200 online_acc=0.8622 elapsed=177.8s
2026-08-02 20:46:04,196 INFO sigma0_ndecay099 seed=15 task 60/200 online_acc=0.8568 elapsed=311.1s
2026-08-02 20:47:34,134 INFO sigma0_ndecay099 seed=15 task 80/200 online_acc=0.8620 elapsed=401.0s
2026-08-02 20:49:52,922 INFO sigma0_ndecay099 seed=15 task 100/200 online_acc=0.8664 elapsed=539.8s
2026-08-02 20:52:19,406 INFO sigma0_ndecay099 seed=15 task 120/200 online_acc=0.8580 elapsed=686.3s
2026-08-02 20:54:15,253 INFO sigma0_ndecay099 seed=15 task 140/200 online_acc=0.8640 elapsed=802.2s
2026-08-02 20:56:08,755 INFO sigma0_ndecay099 seed=15 task 160/200 online_acc=0.8684 elapsed=915.7s
2026-08-02 20:57:35,911 INFO sigma0_ndecay099 seed=15 task 180/200 online_acc=0.8642 elapsed=1002.8s
2026-08-02 20:58:54,755 INFO sigma0_ndecay099 seed=15 task 200/200 online_acc=0.8664 elapsed=1081.7s
2026-08-02 20:58:55,577 INFO sigma0_ndecay099 seed=15 done: avg online acc 0.8636 (wall 1081.7s) -> outputs/ipmnist_screening/publication_runs/sigma0_ndecay099_seed15.json
