WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 20:40:47,206 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 20:40:49,982 INFO running sigma0_ndecay099 seed=10 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 20:42:30,991 INFO sigma0_ndecay099 seed=10 task 20/200 online_acc=0.8706 elapsed=94.7s
2026-08-02 20:44:32,153 INFO sigma0_ndecay099 seed=10 task 40/200 online_acc=0.8638 elapsed=215.8s
2026-08-02 20:46:54,240 INFO sigma0_ndecay099 seed=10 task 60/200 online_acc=0.8652 elapsed=357.9s
2026-08-02 20:48:46,061 INFO sigma0_ndecay099 seed=10 task 80/200 online_acc=0.8520 elapsed=469.7s
2026-08-02 20:51:44,793 INFO sigma0_ndecay099 seed=10 task 100/200 online_acc=0.8524 elapsed=648.5s
2026-08-02 20:53:43,301 INFO sigma0_ndecay099 seed=10 task 120/200 online_acc=0.8640 elapsed=767.0s
2026-08-02 20:55:42,919 INFO sigma0_ndecay099 seed=10 task 140/200 online_acc=0.8678 elapsed=886.6s
2026-08-02 20:57:16,730 INFO sigma0_ndecay099 seed=10 task 160/200 online_acc=0.8562 elapsed=980.4s
2026-08-02 20:58:35,676 INFO sigma0_ndecay099 seed=10 task 180/200 online_acc=0.8574 elapsed=1059.4s
2026-08-02 20:59:49,544 INFO sigma0_ndecay099 seed=10 task 200/200 online_acc=0.8580 elapsed=1133.2s
2026-08-02 20:59:50,489 INFO sigma0_ndecay099 seed=10 done: avg online acc 0.8619 (wall 1133.2s) -> outputs/ipmnist_screening/publication_runs/sigma0_ndecay099_seed10.json
