WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 21:12:43,875 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 21:12:47,876 INFO running sigma0_shiftnorm_d099 seed=19 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 21:13:56,442 INFO sigma0_shiftnorm_d099 seed=19 task 20/200 online_acc=0.8654 elapsed=65.7s
2026-08-02 21:14:57,841 INFO sigma0_shiftnorm_d099 seed=19 task 40/200 online_acc=0.8728 elapsed=127.1s
2026-08-02 21:16:02,577 INFO sigma0_shiftnorm_d099 seed=19 task 60/200 online_acc=0.8692 elapsed=191.8s
2026-08-02 21:17:02,930 INFO sigma0_shiftnorm_d099 seed=19 task 80/200 online_acc=0.8684 elapsed=252.2s
2026-08-02 21:18:01,508 INFO sigma0_shiftnorm_d099 seed=19 task 100/200 online_acc=0.8714 elapsed=310.8s
2026-08-02 21:19:01,130 INFO sigma0_shiftnorm_d099 seed=19 task 120/200 online_acc=0.8620 elapsed=370.4s
2026-08-02 21:20:01,262 INFO sigma0_shiftnorm_d099 seed=19 task 140/200 online_acc=0.8686 elapsed=430.5s
2026-08-02 21:21:00,322 INFO sigma0_shiftnorm_d099 seed=19 task 160/200 online_acc=0.8782 elapsed=489.6s
2026-08-02 21:21:59,252 INFO sigma0_shiftnorm_d099 seed=19 task 180/200 online_acc=0.8652 elapsed=548.5s
2026-08-02 21:22:54,516 INFO sigma0_shiftnorm_d099 seed=19 task 200/200 online_acc=0.8626 elapsed=603.8s
2026-08-02 21:22:54,546 INFO sigma0_shiftnorm_d099 seed=19 done: avg online acc 0.8643 (wall 603.8s) -> outputs/ipmnist_screening/publication_runs/sigma0_shiftnorm_d099_seed19.json
