WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 20:40:47,717 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 20:40:51,823 INFO running sigma0_ndecay099 seed=19 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 20:42:33,606 INFO sigma0_ndecay099 seed=19 task 20/200 online_acc=0.8680 elapsed=95.7s
2026-08-02 20:44:29,596 INFO sigma0_ndecay099 seed=19 task 40/200 online_acc=0.8706 elapsed=211.7s
2026-08-02 20:46:44,036 INFO sigma0_ndecay099 seed=19 task 60/200 online_acc=0.8702 elapsed=346.2s
2026-08-02 20:48:28,526 INFO sigma0_ndecay099 seed=19 task 80/200 online_acc=0.8666 elapsed=450.6s
2026-08-02 20:51:28,947 INFO sigma0_ndecay099 seed=19 task 100/200 online_acc=0.8692 elapsed=631.1s
2026-08-02 20:53:28,520 INFO sigma0_ndecay099 seed=19 task 120/200 online_acc=0.8580 elapsed=750.6s
2026-08-02 20:55:26,164 INFO sigma0_ndecay099 seed=19 task 140/200 online_acc=0.8640 elapsed=868.3s
2026-08-02 20:57:06,527 INFO sigma0_ndecay099 seed=19 task 160/200 online_acc=0.8732 elapsed=968.6s
2026-08-02 20:58:25,437 INFO sigma0_ndecay099 seed=19 task 180/200 online_acc=0.8608 elapsed=1047.6s
2026-08-02 20:59:41,265 INFO sigma0_ndecay099 seed=19 task 200/200 online_acc=0.8650 elapsed=1123.4s
2026-08-02 20:59:42,138 INFO sigma0_ndecay099 seed=19 done: avg online acc 0.8624 (wall 1123.4s) -> outputs/ipmnist_screening/publication_runs/sigma0_ndecay099_seed19.json
