WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 20:59:11,538 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 20:59:15,896 INFO running sigma0_ndecay099 seed=5 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 21:00:39,577 INFO sigma0_ndecay099 seed=5 task 20/200 online_acc=0.8634 elapsed=80.2s
2026-08-02 21:02:05,087 INFO sigma0_ndecay099 seed=5 task 40/200 online_acc=0.8610 elapsed=165.7s
2026-08-02 21:03:28,010 INFO sigma0_ndecay099 seed=5 task 60/200 online_acc=0.8528 elapsed=248.7s
2026-08-02 21:04:51,341 INFO sigma0_ndecay099 seed=5 task 80/200 online_acc=0.8650 elapsed=332.0s
2026-08-02 21:06:07,306 INFO sigma0_ndecay099 seed=5 task 100/200 online_acc=0.8662 elapsed=408.0s
2026-08-02 21:07:25,473 INFO sigma0_ndecay099 seed=5 task 120/200 online_acc=0.8550 elapsed=486.1s
2026-08-02 21:08:42,789 INFO sigma0_ndecay099 seed=5 task 140/200 online_acc=0.8570 elapsed=563.4s
2026-08-02 21:09:59,994 INFO sigma0_ndecay099 seed=5 task 160/200 online_acc=0.8602 elapsed=640.6s
2026-08-02 21:11:10,120 INFO sigma0_ndecay099 seed=5 task 180/200 online_acc=0.8702 elapsed=710.8s
2026-08-02 21:12:06,638 INFO sigma0_ndecay099 seed=5 task 200/200 online_acc=0.8558 elapsed=767.3s
2026-08-02 21:12:06,691 INFO sigma0_ndecay099 seed=5 done: avg online acc 0.8622 (wall 767.3s) -> outputs/ipmnist_screening/publication_runs/sigma0_ndecay099_seed5.json
