WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 20:40:47,032 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 20:40:49,910 INFO running sigma0_ndecay099 seed=12 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 20:42:28,310 INFO sigma0_ndecay099 seed=12 task 20/200 online_acc=0.8624 elapsed=93.9s
2026-08-02 20:43:51,249 INFO sigma0_ndecay099 seed=12 task 40/200 online_acc=0.8594 elapsed=176.9s
2026-08-02 20:46:03,759 INFO sigma0_ndecay099 seed=12 task 60/200 online_acc=0.8616 elapsed=309.4s
2026-08-02 20:47:34,258 INFO sigma0_ndecay099 seed=12 task 80/200 online_acc=0.8652 elapsed=399.9s
2026-08-02 20:49:54,394 INFO sigma0_ndecay099 seed=12 task 100/200 online_acc=0.8588 elapsed=540.0s
2026-08-02 20:52:18,407 INFO sigma0_ndecay099 seed=12 task 120/200 online_acc=0.8726 elapsed=684.0s
2026-08-02 20:54:15,239 INFO sigma0_ndecay099 seed=12 task 140/200 online_acc=0.8684 elapsed=800.8s
2026-08-02 20:56:10,866 INFO sigma0_ndecay099 seed=12 task 160/200 online_acc=0.8632 elapsed=916.5s
2026-08-02 20:57:38,621 INFO sigma0_ndecay099 seed=12 task 180/200 online_acc=0.8530 elapsed=1004.2s
2026-08-02 20:58:57,149 INFO sigma0_ndecay099 seed=12 task 200/200 online_acc=0.8524 elapsed=1082.8s
2026-08-02 20:58:58,185 INFO sigma0_ndecay099 seed=12 done: avg online acc 0.8624 (wall 1082.8s) -> outputs/ipmnist_screening/publication_runs/sigma0_ndecay099_seed12.json
