WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 21:22:23,917 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 21:22:28,050 INFO running sigma0_shiftnorm_d099 seed=7 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 21:23:15,324 INFO sigma0_shiftnorm_d099 seed=7 task 20/200 online_acc=0.8772 elapsed=44.4s
2026-08-02 21:23:48,990 INFO sigma0_shiftnorm_d099 seed=7 task 40/200 online_acc=0.8646 elapsed=78.0s
2026-08-02 21:24:22,220 INFO sigma0_shiftnorm_d099 seed=7 task 60/200 online_acc=0.8538 elapsed=111.3s
2026-08-02 21:24:51,996 INFO sigma0_shiftnorm_d099 seed=7 task 80/200 online_acc=0.8532 elapsed=141.1s
2026-08-02 21:25:22,198 INFO sigma0_shiftnorm_d099 seed=7 task 100/200 online_acc=0.8632 elapsed=171.3s
2026-08-02 21:25:53,291 INFO sigma0_shiftnorm_d099 seed=7 task 120/200 online_acc=0.8614 elapsed=202.3s
2026-08-02 21:26:23,295 INFO sigma0_shiftnorm_d099 seed=7 task 140/200 online_acc=0.8624 elapsed=232.4s
2026-08-02 21:26:54,294 INFO sigma0_shiftnorm_d099 seed=7 task 160/200 online_acc=0.8640 elapsed=263.4s
2026-08-02 21:27:24,133 INFO sigma0_shiftnorm_d099 seed=7 task 180/200 online_acc=0.8578 elapsed=293.2s
2026-08-02 21:27:52,997 INFO sigma0_shiftnorm_d099 seed=7 task 200/200 online_acc=0.8598 elapsed=322.1s
2026-08-02 21:27:53,035 INFO sigma0_shiftnorm_d099 seed=7 done: avg online acc 0.8643 (wall 322.1s) -> outputs/ipmnist_screening/publication_runs/sigma0_shiftnorm_d099_seed7.json
