WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 21:22:19,705 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 21:22:24,128 INFO running sigma0_shiftnorm_d099 seed=6 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 21:23:12,974 INFO sigma0_shiftnorm_d099 seed=6 task 20/200 online_acc=0.8644 elapsed=46.1s
2026-08-02 21:23:46,652 INFO sigma0_shiftnorm_d099 seed=6 task 40/200 online_acc=0.8742 elapsed=79.7s
2026-08-02 21:24:19,406 INFO sigma0_shiftnorm_d099 seed=6 task 60/200 online_acc=0.8620 elapsed=112.5s
2026-08-02 21:24:49,580 INFO sigma0_shiftnorm_d099 seed=6 task 80/200 online_acc=0.8620 elapsed=142.7s
2026-08-02 21:25:19,160 INFO sigma0_shiftnorm_d099 seed=6 task 100/200 online_acc=0.8578 elapsed=172.3s
2026-08-02 21:25:50,339 INFO sigma0_shiftnorm_d099 seed=6 task 120/200 online_acc=0.8616 elapsed=203.4s
2026-08-02 21:26:20,344 INFO sigma0_shiftnorm_d099 seed=6 task 140/200 online_acc=0.8668 elapsed=233.4s
2026-08-02 21:26:50,985 INFO sigma0_shiftnorm_d099 seed=6 task 160/200 online_acc=0.8658 elapsed=264.1s
2026-08-02 21:27:21,045 INFO sigma0_shiftnorm_d099 seed=6 task 180/200 online_acc=0.8654 elapsed=294.1s
2026-08-02 21:27:49,988 INFO sigma0_shiftnorm_d099 seed=6 task 200/200 online_acc=0.8608 elapsed=323.1s
2026-08-02 21:27:50,029 INFO sigma0_shiftnorm_d099 seed=6 done: avg online acc 0.8638 (wall 323.1s) -> outputs/ipmnist_screening/publication_runs/sigma0_shiftnorm_d099_seed6.json
