WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 09:18:24,135 INFO shard learner=upgd_ema_norm seed=100 tasks=400 task_length=2500
2026-08-02 09:22:01,622 INFO upgd_ema_norm task 5/400 online_acc=0.4404 elapsed=214.6s
2026-08-02 09:23:21,514 INFO upgd_ema_norm task 10/400 online_acc=0.5388 elapsed=294.5s
2026-08-02 09:25:28,111 INFO upgd_ema_norm task 15/400 online_acc=0.5700 elapsed=421.1s
2026-08-02 09:30:17,814 INFO upgd_ema_norm task 20/400 online_acc=0.5816 elapsed=710.8s
2026-08-02 09:33:12,802 INFO upgd_ema_norm task 25/400 online_acc=0.6120 elapsed=885.8s
2026-08-02 09:36:02,207 INFO upgd_ema_norm task 30/400 online_acc=0.6056 elapsed=1055.2s
2026-08-02 09:39:02,039 INFO upgd_ema_norm task 35/400 online_acc=0.6284 elapsed=1235.0s
2026-08-02 09:41:58,805 INFO upgd_ema_norm task 40/400 online_acc=0.6420 elapsed=1411.8s
2026-08-02 09:43:17,881 INFO upgd_ema_norm task 45/400 online_acc=0.6452 elapsed=1490.9s
2026-08-02 09:44:54,270 INFO upgd_ema_norm task 50/400 online_acc=0.6328 elapsed=1587.3s
2026-08-02 09:46:24,449 INFO upgd_ema_norm task 55/400 online_acc=0.6448 elapsed=1677.4s
2026-08-02 09:47:59,684 INFO upgd_ema_norm task 60/400 online_acc=0.6744 elapsed=1772.7s
2026-08-02 09:49:37,084 INFO upgd_ema_norm task 65/400 online_acc=0.6800 elapsed=1870.1s
2026-08-02 09:51:01,163 INFO upgd_ema_norm task 70/400 online_acc=0.6728 elapsed=1954.2s
2026-08-02 09:52:23,997 INFO upgd_ema_norm task 75/400 online_acc=0.6892 elapsed=2037.0s
2026-08-02 09:53:26,660 INFO upgd_ema_norm task 80/400 online_acc=0.6864 elapsed=2099.6s
2026-08-02 09:54:18,284 INFO upgd_ema_norm task 85/400 online_acc=0.7056 elapsed=2151.3s
2026-08-02 09:55:11,364 INFO upgd_ema_norm task 90/400 online_acc=0.7008 elapsed=2204.4s
2026-08-02 09:56:04,247 INFO upgd_ema_norm task 95/400 online_acc=0.6972 elapsed=2257.2s
2026-08-02 09:56:56,132 INFO upgd_ema_norm task 100/400 online_acc=0.7188 elapsed=2309.1s
2026-08-02 09:57:51,052 INFO upgd_ema_norm task 105/400 online_acc=0.7084 elapsed=2364.0s
2026-08-02 09:58:44,433 INFO upgd_ema_norm task 110/400 online_acc=0.7124 elapsed=2417.4s
2026-08-02 09:59:35,991 INFO upgd_ema_norm task 115/400 online_acc=0.7028 elapsed=2469.0s
2026-08-02 10:00:34,091 INFO upgd_ema_norm task 120/400 online_acc=0.7148 elapsed=2527.1s
2026-08-02 10:01:28,611 INFO upgd_ema_norm task 125/400 online_acc=0.7316 elapsed=2581.6s
2026-08-02 10:02:21,456 INFO upgd_ema_norm task 130/400 online_acc=0.7164 elapsed=2634.4s
2026-08-02 10:03:15,564 INFO upgd_ema_norm task 135/400 online_acc=0.7304 elapsed=2688.6s
2026-08-02 10:04:10,074 INFO upgd_ema_norm task 140/400 online_acc=0.7184 elapsed=2743.1s
2026-08-02 10:05:01,786 INFO upgd_ema_norm task 145/400 online_acc=0.7316 elapsed=2794.8s
2026-08-02 10:05:57,343 INFO upgd_ema_norm task 150/400 online_acc=0.7264 elapsed=2850.3s
2026-08-02 10:06:55,308 INFO upgd_ema_norm task 155/400 online_acc=0.7236 elapsed=2908.3s
2026-08-02 10:07:55,495 INFO upgd_ema_norm task 160/400 online_acc=0.7164 elapsed=2968.5s
2026-08-02 10:10:26,053 INFO upgd_ema_norm task 165/400 online_acc=0.7328 elapsed=3119.0s
2026-08-02 10:12:58,702 INFO upgd_ema_norm task 170/400 online_acc=0.7260 elapsed=3271.7s
2026-08-02 10:14:30,350 INFO upgd_ema_norm task 175/400 online_acc=0.7212 elapsed=3363.3s
2026-08-02 10:15:50,893 INFO upgd_ema_norm task 180/400 online_acc=0.7212 elapsed=3443.9s
2026-08-02 10:17:16,554 INFO upgd_ema_norm task 185/400 online_acc=0.7236 elapsed=3529.5s
2026-08-02 10:18:46,596 INFO upgd_ema_norm task 190/400 online_acc=0.7384 elapsed=3619.6s
2026-08-02 10:20:26,768 INFO upgd_ema_norm task 195/400 online_acc=0.7248 elapsed=3719.8s
2026-08-02 10:22:02,349 INFO upgd_ema_norm task 200/400 online_acc=0.7396 elapsed=3815.3s
2026-08-02 10:23:26,307 INFO upgd_ema_norm task 205/400 online_acc=0.7380 elapsed=3899.3s
2026-08-02 10:24:38,441 INFO upgd_ema_norm task 210/400 online_acc=0.7556 elapsed=3971.4s
2026-08-02 10:25:31,673 INFO upgd_ema_norm task 215/400 online_acc=0.7376 elapsed=4024.7s
2026-08-02 10:26:26,140 INFO upgd_ema_norm task 220/400 online_acc=0.7484 elapsed=4079.1s
2026-08-02 10:27:21,405 INFO upgd_ema_norm task 225/400 online_acc=0.7416 elapsed=4134.4s
2026-08-02 10:28:14,125 INFO upgd_ema_norm task 230/400 online_acc=0.7588 elapsed=4187.1s
2026-08-02 10:29:10,556 INFO upgd_ema_norm task 235/400 online_acc=0.7568 elapsed=4243.5s
2026-08-02 10:30:06,120 INFO upgd_ema_norm task 240/400 online_acc=0.7568 elapsed=4299.1s
2026-08-02 10:31:03,690 INFO upgd_ema_norm task 245/400 online_acc=0.7408 elapsed=4356.7s
2026-08-02 10:31:57,664 INFO upgd_ema_norm task 250/400 online_acc=0.7580 elapsed=4410.7s
2026-08-02 10:32:50,193 INFO upgd_ema_norm task 255/400 online_acc=0.7536 elapsed=4463.2s
2026-08-02 10:33:43,995 INFO upgd_ema_norm task 260/400 online_acc=0.7568 elapsed=4517.0s
2026-08-02 10:34:45,345 INFO upgd_ema_norm task 265/400 online_acc=0.7484 elapsed=4578.3s
2026-08-02 10:36:22,058 INFO upgd_ema_norm task 270/400 online_acc=0.7556 elapsed=4675.0s
2026-08-02 10:37:45,690 INFO upgd_ema_norm task 275/400 online_acc=0.7696 elapsed=4758.7s
2026-08-02 10:39:13,449 INFO upgd_ema_norm task 280/400 online_acc=0.7596 elapsed=4846.4s
2026-08-02 10:41:06,039 INFO upgd_ema_norm task 285/400 online_acc=0.7628 elapsed=4959.0s
2026-08-02 10:42:46,741 INFO upgd_ema_norm task 290/400 online_acc=0.7768 elapsed=5059.7s
2026-08-02 10:46:52,205 INFO upgd_ema_norm task 295/400 online_acc=0.7492 elapsed=5305.2s
2026-08-02 10:49:50,697 INFO upgd_ema_norm task 300/400 online_acc=0.7528 elapsed=5483.7s
2026-08-02 10:52:49,021 INFO upgd_ema_norm task 305/400 online_acc=0.7668 elapsed=5662.0s
2026-08-02 10:54:55,528 INFO upgd_ema_norm task 310/400 online_acc=0.7624 elapsed=5788.5s
2026-08-02 10:57:01,261 INFO upgd_ema_norm task 315/400 online_acc=0.7600 elapsed=5914.3s
2026-08-02 10:59:00,460 INFO upgd_ema_norm task 320/400 online_acc=0.7596 elapsed=6033.4s
2026-08-02 11:00:52,498 INFO upgd_ema_norm task 325/400 online_acc=0.7756 elapsed=6145.5s
2026-08-02 11:02:46,561 INFO upgd_ema_norm task 330/400 online_acc=0.7576 elapsed=6259.5s
2026-08-02 11:04:33,171 INFO upgd_ema_norm task 335/400 online_acc=0.7556 elapsed=6366.2s
2026-08-02 11:06:22,616 INFO upgd_ema_norm task 340/400 online_acc=0.7540 elapsed=6475.6s
2026-08-02 11:08:11,571 INFO upgd_ema_norm task 345/400 online_acc=0.7700 elapsed=6584.6s
2026-08-02 11:09:57,619 INFO upgd_ema_norm task 350/400 online_acc=0.7512 elapsed=6690.6s
2026-08-02 11:11:54,629 INFO upgd_ema_norm task 355/400 online_acc=0.7612 elapsed=6807.6s
2026-08-02 11:13:38,733 INFO upgd_ema_norm task 360/400 online_acc=0.7584 elapsed=6911.7s
2026-08-02 11:15:23,829 INFO upgd_ema_norm task 365/400 online_acc=0.7480 elapsed=7016.8s
2026-08-02 11:17:29,130 INFO upgd_ema_norm task 370/400 online_acc=0.7660 elapsed=7142.1s
2026-08-02 11:19:35,778 INFO upgd_ema_norm task 375/400 online_acc=0.7612 elapsed=7268.8s
