WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-01 17:10:29,474 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-01 17:10:33,804 INFO running upgd_w_wd0005 seed=6 for 200 tasks x 5000 steps (noise_mode=pool)
2026-08-01 17:11:49,829 INFO upgd_w_wd0005 seed=6 task 20/200 online_acc=0.7924 elapsed=72.8s
2026-08-01 17:12:57,426 INFO upgd_w_wd0005 seed=6 task 40/200 online_acc=0.7870 elapsed=140.4s
2026-08-01 17:14:06,279 INFO upgd_w_wd0005 seed=6 task 60/200 online_acc=0.7832 elapsed=209.2s
2026-08-01 17:15:13,801 INFO upgd_w_wd0005 seed=6 task 80/200 online_acc=0.7760 elapsed=276.8s
2026-08-01 17:16:19,909 INFO upgd_w_wd0005 seed=6 task 100/200 online_acc=0.7850 elapsed=342.9s
2026-08-01 17:17:48,650 INFO upgd_w_wd0005 seed=6 task 120/200 online_acc=0.7856 elapsed=431.6s
2026-08-01 17:19:03,137 INFO upgd_w_wd0005 seed=6 task 140/200 online_acc=0.7810 elapsed=506.1s
2026-08-01 17:20:45,987 INFO upgd_w_wd0005 seed=6 task 160/200 online_acc=0.7960 elapsed=609.0s
2026-08-01 17:22:41,529 INFO upgd_w_wd0005 seed=6 task 180/200 online_acc=0.7752 elapsed=724.5s
2026-08-01 17:24:27,908 INFO upgd_w_wd0005 seed=6 task 200/200 online_acc=0.7844 elapsed=830.9s
2026-08-01 17:24:28,782 INFO upgd_w_wd0005 seed=6 done: avg online acc 0.7840 (wall 830.9s) -> outputs/ipmnist_screening/confirm_full/upgd_w_wd0005_seed6.json
