WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-01 22:23:36,498 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-01 22:23:42,894 INFO running upgd_ema_norm seed=3 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-01 22:36:13,015 INFO upgd_ema_norm seed=3 task 20/200 online_acc=0.8558 elapsed=744.8s
2026-08-01 22:48:12,606 INFO upgd_ema_norm seed=3 task 40/200 online_acc=0.8592 elapsed=1464.4s
2026-08-01 23:02:55,159 INFO upgd_ema_norm seed=3 task 60/200 online_acc=0.8476 elapsed=2346.9s
2026-08-01 23:17:49,863 INFO upgd_ema_norm seed=3 task 80/200 online_acc=0.8492 elapsed=3241.6s
2026-08-01 23:35:26,758 INFO upgd_ema_norm seed=3 task 100/200 online_acc=0.8534 elapsed=4298.4s
2026-08-01 23:49:30,805 INFO upgd_ema_norm seed=3 task 120/200 online_acc=0.8592 elapsed=5142.6s
2026-08-02 00:06:21,936 INFO upgd_ema_norm seed=3 task 140/200 online_acc=0.8496 elapsed=6153.7s
2026-08-02 00:22:28,845 INFO upgd_ema_norm seed=3 task 160/200 online_acc=0.8570 elapsed=7120.6s
2026-08-02 00:38:25,147 INFO upgd_ema_norm seed=3 task 180/200 online_acc=0.8530 elapsed=8076.9s
2026-08-02 00:54:17,005 INFO upgd_ema_norm seed=3 task 200/200 online_acc=0.8644 elapsed=9028.8s
2026-08-02 00:54:18,739 INFO upgd_ema_norm seed=3 done: avg online acc 0.8534 (wall 9028.8s) -> outputs/ipmnist_screening/confirm_full/upgd_ema_norm_seed3.json
