WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-01 18:31:28,118 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-01 18:31:33,017 INFO running adamw_cbp seed=7 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-01 18:37:18,087 INFO adamw_cbp seed=7 task 20/200 online_acc=0.7958 elapsed=336.0s
2026-08-01 18:42:55,521 INFO adamw_cbp seed=7 task 40/200 online_acc=0.7966 elapsed=673.5s
2026-08-01 18:48:06,299 INFO adamw_cbp seed=7 task 60/200 online_acc=0.7968 elapsed=984.2s
2026-08-01 18:53:19,813 INFO adamw_cbp seed=7 task 80/200 online_acc=0.7944 elapsed=1297.7s
2026-08-01 18:58:34,164 INFO adamw_cbp seed=7 task 100/200 online_acc=0.8002 elapsed=1612.1s
2026-08-01 19:03:46,809 INFO adamw_cbp seed=7 task 120/200 online_acc=0.8032 elapsed=1924.7s
2026-08-01 19:08:49,155 INFO adamw_cbp seed=7 task 140/200 online_acc=0.8072 elapsed=2227.1s
2026-08-01 19:13:42,119 INFO adamw_cbp seed=7 task 160/200 online_acc=0.7968 elapsed=2520.1s
2026-08-01 19:18:36,843 INFO adamw_cbp seed=7 task 180/200 online_acc=0.8006 elapsed=2814.8s
2026-08-01 19:23:39,299 INFO adamw_cbp seed=7 task 200/200 online_acc=0.7940 elapsed=3117.2s
2026-08-01 19:23:39,364 INFO adamw_cbp seed=7 done: avg online acc 0.7992 (wall 3117.2s) -> outputs/ipmnist_screening/confirm_full/adamw_cbp_seed7.json
