WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-02 20:49:48,460 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-02 20:49:58,420 INFO running sgd_ema_norm_d099 seed=1 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-02 20:50:46,348 INFO sgd_ema_norm_d099 seed=1 task 20/200 online_acc=0.8688 elapsed=41.0s
2026-08-02 20:51:21,509 INFO sgd_ema_norm_d099 seed=1 task 40/200 online_acc=0.8518 elapsed=76.2s
2026-08-02 20:51:53,861 INFO sgd_ema_norm_d099 seed=1 task 60/200 online_acc=0.8544 elapsed=108.5s
2026-08-02 20:52:26,877 INFO sgd_ema_norm_d099 seed=1 task 80/200 online_acc=0.8610 elapsed=141.5s
2026-08-02 20:52:59,599 INFO sgd_ema_norm_d099 seed=1 task 100/200 online_acc=0.8664 elapsed=174.3s
2026-08-02 20:53:32,080 INFO sgd_ema_norm_d099 seed=1 task 120/200 online_acc=0.8606 elapsed=206.7s
2026-08-02 20:54:04,127 INFO sgd_ema_norm_d099 seed=1 task 140/200 online_acc=0.8604 elapsed=238.8s
2026-08-02 20:54:36,288 INFO sgd_ema_norm_d099 seed=1 task 160/200 online_acc=0.8586 elapsed=271.0s
2026-08-02 20:55:08,464 INFO sgd_ema_norm_d099 seed=1 task 180/200 online_acc=0.8590 elapsed=303.1s
2026-08-02 20:55:41,840 INFO sgd_ema_norm_d099 seed=1 task 200/200 online_acc=0.8596 elapsed=336.5s
2026-08-02 20:55:42,225 INFO sgd_ema_norm_d099 seed=1 done: avg online acc 0.8618 (wall 336.5s) -> outputs/ipmnist_screening/confirm_full/sgd_ema_norm_d099_seed1.json
