WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-08-01 15:30:47,788 INFO loading MNIST from data_home=/home/shaw/milady/alberta/outputs/step2_published_mnist_openml_cache
2026-08-01 15:30:58,717 INFO running adamw_cbp seed=0 for 200 tasks x 5000 steps (noise_mode=step)
2026-08-01 15:54:10,387 INFO adamw_cbp seed=0 task 20/200 online_acc=0.7892 elapsed=1369.1s
2026-08-01 16:13:43,206 INFO adamw_cbp seed=0 task 40/200 online_acc=0.7976 elapsed=2541.9s
2026-08-01 16:33:09,429 INFO adamw_cbp seed=0 task 60/200 online_acc=0.8074 elapsed=3708.1s
2026-08-01 16:45:29,589 INFO adamw_cbp seed=0 task 80/200 online_acc=0.8064 elapsed=4448.3s
2026-08-01 16:52:34,304 INFO adamw_cbp seed=0 task 100/200 online_acc=0.8082 elapsed=4873.0s
2026-08-01 17:00:06,954 INFO adamw_cbp seed=0 task 120/200 online_acc=0.7972 elapsed=5325.7s
2026-08-01 17:05:05,980 INFO adamw_cbp seed=0 task 140/200 online_acc=0.7926 elapsed=5624.7s
2026-08-01 17:08:57,531 INFO adamw_cbp seed=0 task 160/200 online_acc=0.7952 elapsed=5856.2s
2026-08-01 17:12:34,390 INFO adamw_cbp seed=0 task 180/200 online_acc=0.7944 elapsed=6073.1s
2026-08-01 17:17:57,340 INFO adamw_cbp seed=0 task 200/200 online_acc=0.7950 elapsed=6396.1s
2026-08-01 17:17:58,463 INFO adamw_cbp seed=0 done: avg online acc 0.7987 (wall 6396.1s) -> outputs/ipmnist_screening/confirm_full/adamw_cbp_seed0.json
