WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-07-31 11:53:58,659 INFO shard learner=adamw seed=101 tasks=400 task_length=2500
2026-07-31 11:55:12,955 INFO adamw task 20/400 online_acc=0.2136 elapsed=69.4s
2026-07-31 11:56:09,355 INFO adamw task 40/400 online_acc=0.2432 elapsed=125.8s
2026-07-31 11:56:52,003 INFO adamw task 60/400 online_acc=0.2364 elapsed=168.4s
2026-07-31 11:57:53,995 INFO adamw task 80/400 online_acc=0.2392 elapsed=230.4s
2026-07-31 11:58:30,970 INFO adamw task 100/400 online_acc=0.2188 elapsed=267.4s
2026-07-31 11:59:12,357 INFO adamw task 120/400 online_acc=0.2148 elapsed=308.8s
2026-07-31 12:00:03,321 INFO adamw task 140/400 online_acc=0.2096 elapsed=359.7s
2026-07-31 12:00:50,690 INFO adamw task 160/400 online_acc=0.1980 elapsed=407.1s
2026-07-31 12:01:22,878 INFO adamw task 180/400 online_acc=0.1716 elapsed=439.3s
2026-07-31 12:04:14,562 INFO adamw task 200/400 online_acc=0.1996 elapsed=611.0s
2026-07-31 12:04:44,855 INFO adamw task 220/400 online_acc=0.1824 elapsed=641.3s
2026-07-31 12:05:11,716 INFO adamw task 240/400 online_acc=0.1996 elapsed=668.1s
2026-07-31 12:05:38,423 INFO adamw task 260/400 online_acc=0.1756 elapsed=694.8s
2026-07-31 12:06:08,057 INFO adamw task 280/400 online_acc=0.2128 elapsed=724.5s
2026-07-31 12:06:34,967 INFO adamw task 300/400 online_acc=0.1400 elapsed=751.4s
2026-07-31 12:07:04,929 INFO adamw task 320/400 online_acc=0.1868 elapsed=781.3s
2026-07-31 12:07:32,834 INFO adamw task 340/400 online_acc=0.2028 elapsed=809.2s
2026-07-31 12:08:09,529 INFO adamw task 360/400 online_acc=0.1588 elapsed=845.9s
2026-07-31 12:08:42,967 INFO adamw task 380/400 online_acc=0.1728 elapsed=879.4s
2026-07-31 12:09:13,568 INFO adamw task 400/400 online_acc=0.1852 elapsed=910.0s
2026-07-31 12:09:14,308 INFO wrote shard outputs/upgd_label_emnist/partials/adamw_seed101.json (avg online acc 0.2001, wall 910.0s)
