WARNING:jax._src.xla_bridge:An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
2026-07-31 11:53:57,067 INFO shard learner=upgd_w seed=101 tasks=400 task_length=2500
2026-07-31 12:00:50,261 INFO upgd_w task 20/400 online_acc=0.4892 elapsed=410.5s
2026-07-31 12:08:34,944 INFO upgd_w task 40/400 online_acc=0.5712 elapsed=875.1s
2026-07-31 12:14:03,100 INFO upgd_w task 60/400 online_acc=0.6056 elapsed=1203.3s
2026-07-31 12:19:52,927 INFO upgd_w task 80/400 online_acc=0.6484 elapsed=1553.1s
2026-07-31 12:25:16,786 INFO upgd_w task 100/400 online_acc=0.6620 elapsed=1877.0s
2026-07-31 12:30:37,358 INFO upgd_w task 120/400 online_acc=0.6744 elapsed=2197.6s
2026-07-31 12:36:02,290 INFO upgd_w task 140/400 online_acc=0.6716 elapsed=2522.5s
2026-07-31 12:41:49,049 INFO upgd_w task 160/400 online_acc=0.6952 elapsed=2869.3s
2026-07-31 12:49:14,339 INFO upgd_w task 180/400 online_acc=0.6716 elapsed=3314.6s
2026-07-31 12:56:19,458 INFO upgd_w task 200/400 online_acc=0.6876 elapsed=3739.7s
2026-07-31 13:03:01,130 INFO upgd_w task 220/400 online_acc=0.7032 elapsed=4141.3s
2026-07-31 13:08:47,516 INFO upgd_w task 240/400 online_acc=0.7336 elapsed=4487.7s
2026-07-31 13:14:13,462 INFO upgd_w task 260/400 online_acc=0.7096 elapsed=4813.7s
2026-07-31 13:29:48,273 INFO upgd_w task 280/400 online_acc=0.7300 elapsed=5748.5s
2026-07-31 13:53:20,736 INFO upgd_w task 300/400 online_acc=0.7272 elapsed=7161.0s
2026-07-31 14:15:01,111 INFO upgd_w task 320/400 online_acc=0.7084 elapsed=8461.3s
2026-07-31 14:36:20,300 INFO upgd_w task 340/400 online_acc=0.7420 elapsed=9740.5s
2026-07-31 14:57:51,241 INFO upgd_w task 360/400 online_acc=0.7292 elapsed=11031.5s
2026-07-31 15:18:41,202 INFO upgd_w task 380/400 online_acc=0.7452 elapsed=12281.4s
2026-07-31 15:39:45,410 INFO upgd_w task 400/400 online_acc=0.7344 elapsed=13545.6s
2026-07-31 15:39:47,860 INFO wrote shard outputs/upgd_label_emnist/partials/upgd_w_seed101.json (avg online acc 0.6725, wall 13545.9s)
